Brazil,Latin America & Caribbean,NY.GDP.PCAP.CD,5934.144711,3090.60701,3663.823188,2855.940189,4827.781731,3176.289357,3766.548115,11403.28213,7409.691307,8908.331766,8678.659225
Brazil,Latin America & Caribbean,SL.TLF.TOTL.IN,92726865,86794128,89058034,85201661,91599988,82303564,80295093,96467543,93712199,95054971,96857149
Brazil,Latin America & Caribbean,SL.UEM.TOTL.ZS,9.692,11.168,10.072,10.641,10.551,10.649,10.889,8.422,9.28,8.268,9.419
British Virgin Islands,Latin America & Caribbean,SP.POP.TOTL,24493,22134,22881,21430,23665,20796,20241,27675,25366,26288,27218
British Virgin Islands,Latin America & Caribbean,NY.GDP.PCAP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
British Virgin Islands,Latin America & Caribbean,SL.TLF.TOTL.IN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
British Virgin Islands,Latin America & Caribbean,SL.UEM.TOTL.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brunei Darussalam,East Asia & Pacific,SP.POP.TOTL,364663,346637,352911,340099,358916,333345,326424,392332,370873,377793,384952
Brunei Darussalam,East Asia & Pacific,NY.GDP.PCAP.CD,34674.7996,20677.90012,24423.09477,18621.29227,29386.27036,18287.82717,20130.25715,34937.55552,36217.3291,42156.56852,30946.46743
Brunei Darussalam,East Asia & Pacific,SL.TLF.TOTL.IN,182482,169865,174224,165377,178441,160781,155602,194946,185717,188400,191439
Brunei Darussalam,East Asia & Pacific,SL.UEM.TOTL.ZS,5.997,5.663,5.786,5.575,5.931,5.499,5.459,6.455,6.091,6.216,6.411
Bulgaria,Europe & Central Asia,SP.POP.TOTL,7601022,7775327,7716860,7837161,7658972,8009142,8170172,7395599,7545338,7492561,7444443
Bulgaria,Europe & Central Asia,NY.GDP.PCAP.CD,4523.146558,2719.494369,3389.687434,2092.982886,3899.825963,1770.907049,1621.262107,6863.667068,5888.776852,7271.303389,6988.273163
Bulgaria,Europe & Central Asia,SL.TLF.TOTL.IN,3421452,3340007,3379275,3404016,3314525,3494894,3441466,3424396,3500732,3562863,3489069
Bulgaria,Europe & Central Asia,SL.UEM.TOTL.ZS,8.951,13.733,12.037,18.11,10.083,19.921,16.218,10.279,6.878,5.609,6.817
Burkina Faso,Sub-Saharan Africa,SP.POP.TOTL,14373707,13082532,13500533,12680897,13932123,12295001,11925546,16176498,14816307,15258093,15710066
Burkina Faso,Sub-Saharan Africa,NY.GDP.PCAP.CD,455.5136556,362.3739,403.8128374,285.6540876,441.164148,259.4852234,248.9085269,624.9572522,514.6844512,619.4375333,601.5695207
Burkina Faso,Sub-Saharan Africa,SL.TLF.TOTL.IN,5708826,5337468,5465720,5208335,5591307,5079216,4953691,6098364,5817468,5913296,6005410
Burkina Faso,Sub-Saharan Africa,SL.UEM.TOTL.ZS,3.669,2.78,3.473,2.851,4,2.74,2.679,3.723,3.3,3.496,3.711
Burundi,Sub-Saharan Africa,SP.POP.TOTL,7865547,7043154,7310656,6824132,7587299,6634365,6470194,9376444,8161874,8505637,8947646
Burundi,Sub-Saharan Africa,NY.GDP.PCAP.CD,161.8927556,111.4066828,125.1949652,120.9523086,147.2346193,132.1595545,134.5378618,216.7277053,166.1627449,189.5020746,199.097633
Burundi,Sub-Saharan Africa,SL.TLF.TOTL.IN,3316162,3009287,3123186,2918476,3227287,2838292,2766896,4037123,3458975,3627058,3843653
Burundi,Sub-Saharan Africa,SL.UEM.TOTL.ZS,3.185,3.134,3.177,3.169,3.153,3.15,3.129,1.616,2.401,1.634,1.621
Cabo Verde,Sub-Saharan Africa,SP.POP.TOTL,490728,473383,479370,467046,485115,460293,453317,509784,496190,501355,506141
Cabo Verde,Sub-Saharan Africa,NY.GDP.PCAP.CD,2256.996662,1717.975654,1929.490815,1328.578743,2004.146804,1223.330553,1189.514793,3579.460061,3324.576752,3908.648858,3659.720464
Cabo Verde,Sub-Saharan Africa,SL.TLF.TOTL.IN,178016,166090,170161,161946,174138,157762,153739,204374,181799,185468,188994
Cabo Verde,Sub-Saharan Africa,SL.UEM.TOTL.ZS,13.397,13.592,13.465,13.397,13.45,13.278,13.088,10.67,13.323,13.335,13.517
Cambodia,East Asia & Pacific,SP.POP.TOTL,13639028,13050968,13244731,12855241,13439202,12658484,12462336,14500726,13841770,14053479,14276810
Cambodia,East Asia & Pacific,NY.GDP.PCAP.CD,612.2526486,386.6911239,444.1990675,350.1472766,525.7973251,327.5009843,296.4266875,952.2746163,731.6922951,866.2839998,875.7489362
Cambodia,East Asia & Pacific,SL.TLF.TOTL.IN,7006763,6346615,6561970,6150602,6779458,5954751,5758610,8200397,7242199,7248715,7740705
Cambodia,East Asia & Pacific,SL.UEM.TOTL.ZS,1.152,0.909,1.003,0.852,1.064,0.774,0.744,0.771,1.257,0.825,0.579
Cameroon,Sub-Saharan Africa,SP.POP.TOTL,17550407,16160340,16610487,15725528,17074594,15309490,14912631,19668066,18049896,18574056,19113974
Cameroon,Sub-Saharan Africa,NY.GDP.PCAP.CD,1191.45459,988.2412768,1133.393267,789.6238111,1142.624663,715.4702965,708.5657316,1398.58702,1325.672482,1492.142698,1461.389992
Cameroon,Sub-Saharan Africa,SL.TLF.TOTL.IN,8035761,7364466,7584923,7147077,7808503,6936691,6737795,8440780,8274850,8349122,8404820
Cameroon,Sub-Saharan Africa,SL.UEM.TOTL.ZS,3.729,5.908,5.091,6.709,4.4,7.46,7.536,4.11,3.063,3.387,3.744
Canada,North America,SP.POP.TOTL,32571193,31642461,31938807,31359199,32242732,31020855,30685730,34005902,32888886,33247298,33630069
Canada,North America,NY.GDP.PCAP.CD,40504.0371,28301.86459,32145.54126,24256.01923,36383.66001,23822.09621,24271.00206,47560.6666,44660.08389,46710.25269,40874.88319
